organization_id,org_name,state,county,counties,place,platform,platform_org_id,likely_school_district,include_in_rollout,notes
,Knox County Schools,TN,Knox County,,,agendaquick,56697,True,True,adapter deferred; AgendaQuick/Destiny (public.destinyhosted.com/agenda_publish.cfm?id=56697); largest East TN district; archives to 2009
,100-297 Hs Grant,ND,Grant County,,,boardbook,3184,False,False,
,A+ Charter Schools,TX,Dallas County,,,boardbook,2823,True,True,
,Abernathy ISD,TX,Hale County,,,boardbook,1111,True,True,
,Abilene Independent School District,TX,Taylor County,,,boardbook,2274,True,True,
,Academy ISD,TX,Bell County,,,boardbook,2299,True,True,
,Ada-Borup-West School District,MN,Norman County,,,boardbook,2497,True,True,
,Addison Public Library,IL,DuPage County,,,boardbook,2676,False,False,
,Agua Dulce Independent School District,TX,Nueces County,,,boardbook,1990,True,True,
,Aitkin Public School District,MN,Aitkin County,,,boardbook,1530,True,True,
,Akron-Fairgrove Schools,MI,Tuscola County,,,boardbook,1071,True,True,
,Alamo Colleges District,TX,Bexar County,,,boardbook,679,False,False,
,Alamo Heights Independent School District,TX,Bexar County,,,boardbook,713,True,True,
,Alanson Public School,MI,Emmet County,,,boardbook,2674,True,True,
,Alaska Public Risk Alliance,AK,Juneau City and Borough,,,boardbook,3972,False,False,
,Alba-Golden ISD,TX,Wood County,,,boardbook,1895,True,True,
,Albany Area Schools,MN,Stearns County,,,boardbook,1812,True,True,
,Albany ISD,TX,Shackelford County,,,boardbook,3482,True,True,
,Albert Lea Area Schools,MN,Freeborn County,,,boardbook,1252,True,True,
,Aldine ISD,TX,Harris County,,,boardbook,1722,True,True,
,Aledo ISD,TX,Parker County,,,boardbook,871,True,True,
,Alexander Public Schools,ND,McKenzie County,,,boardbook,2682,True,True,
,Alexandria Township School District,NJ,Hunterdon County,,,boardbook,2072,True,True,
,Algonac Community Schools,MI,St. Clair County,,,boardbook,1625,True,True,
,Alice ISD,TX,Jim Wells County,,,boardbook,868,True,True,
,Alief ISD,TX,Harris County,,,boardbook,770,True,True,
,Allen Independent School District,TX,Collin County,,,boardbook,855,True,True,
,Alpena County,MI,Alpena County,,,boardbook,1365,False,False,
,Alpena-Montmorency-Alcona ESD,MI,Alpena County,,,boardbook,2701,True,True,
,Alpine ISD,TX,Brewster County,,,boardbook,2310,True,True,
,Alsea Charter School,OR,Benton County,,,boardbook,2548,True,True,
,Altoona-Midway USD 387,KS,,,,boardbook,3042,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Alvarado ISD,TX,Johnson County,,,boardbook,724,True,True,
,Alvin Independent School District,TX,Brazoria County,,,boardbook,1295,True,True,
,Amarillo College,TX,Potter County,,,boardbook,1957,False,False,
,Amarillo ISD,TX,Potter County,,,boardbook,1931,True,True,
,Amboy CUSD #272,IL,Lee County,,,boardbook,1276,False,False,
,Amphitheater Public Schools,AZ,Pima County,,,boardbook,2065,True,True,
,Anahuac Independent School District,TX,Chambers County,,,boardbook,1870,True,True,
,Anderson-Shiro CISD,TX,Grimes County,,,boardbook,633,True,True,
,Angelina College,TX,Angelina County,,,boardbook,2752,False,False,
,Angleton Independent School District,TX,Brazoria County,,,boardbook,1874,True,True,
,Anna Independent School District,TX,Collin County,,,boardbook,849,True,True,
,Annawan Public Schools,IL,Henry County,,,boardbook,1608,True,True,
,Annette Island School District,AK,Prince of Wales-Hyder Census Area,,,boardbook,1331,True,True,
,Anoka-Hennepin School District 11,MN,Anoka County,,,boardbook,2720,True,True,
,Anson ISD,TX,Jones County,,,boardbook,2224,True,True,
,Anthony ISD,TX,El Paso County,,,boardbook,819,True,True,
,Antioch School District 34,IL,Lake County,,,boardbook,1716,True,True,
,Anton ISD,TX,Hockley County,,,boardbook,2285,True,True,
,Aquilla Independent School District,TX,Hill County,,,boardbook,2211,True,True,
,Aransas Pass ISD,TX,San Patricio County,,,boardbook,924,True,True,
,Archer City ISD,TX,Archer County,,,boardbook,2988,True,True,
,Argo Community High School District 217,IL,Cook County,,,boardbook,1709,True,True,
,Argyle ISD,TX,Denton County,,,boardbook,1395,True,True,
,Arkansas Department of Education,AR,Pulaski County,,,boardbook,1133,False,False,
,Arlington ISD,TX,Tarrant County,,,boardbook,2978,True,True,
,Arp ISD,TX,Smith County,,,boardbook,1862,True,True,
,Ashland School District,OR,Jackson County,,,boardbook,1537,True,True,
,Ashley Community Schools,MI,Gratiot County,,,boardbook,2751,True,True,
,Athens Independent School District,TX,Henderson County,,,boardbook,635,True,True,
,Atlanta ISD,TX,Cass County,,,boardbook,888,True,True,
,Au Gres-Sims School District,MI,Arenac County,,,boardbook,1634,True,True,
,Aubrey Independent School District,TX,Denton County,,,boardbook,1857,True,True,
,Austin Community College,TX,Travis County,,,boardbook,4103,False,False,
,Austin Public Schools,MN,Mower County,,,boardbook,2516,True,True,
,Austwell-Tivoli ISD,TX,Refugio County,,,boardbook,3348,True,True,
,Avery ISD,TX,Red River County,,,boardbook,761,True,True,
,Avon-Washington Township Public Library,IN,Hendricks County,,,boardbook,1161,False,False,
,Azle Independent School District,TX,Tarrant County,,,boardbook,1367,True,True,
,Badger ISD 676,MN,Roseau County,,,boardbook,1824,True,True,
,Bagley Public Schools,MN,Clearwater County,,,boardbook,1183,True,True,
,Baird ISD,TX,Callahan County,,,boardbook,2000,True,True,
,Bakken Area Skills Center,ND,McKenzie County,,,boardbook,2989,False,False,
,Baldwin Community Schools,MI,Lake County,,,boardbook,2632,True,True,
,Ballinger ISD,TX,Runnels County,,,boardbook,2226,True,True,
,Balmorhea ISD,TX,Reeves County,,,boardbook,2166,True,True,
,Bandera Independent School District,TX,Bandera County,,,boardbook,1846,True,True,
,Bangor Public Schools,ME,Penobscot County,,,boardbook,4134,True,True,
,Bangor Township Schools,MI,Bay County,,,boardbook,1645,True,True,
