platform,platform_org_id,state,likely_school_district,include_in_rollout,notes
boarddocs,oh/ada,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/adena,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/akron,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/alsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/anna,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/arcadia,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/athcty,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/avonlake,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/batavia,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bcs,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bedford,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bellevue,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/berea,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/betheloh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bgcsoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bloomcarroll,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/blsd,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bradford,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/brightoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bristol,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/brookfield,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/brooklyn,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/brownoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bryanoh,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,oh/bvls,OH,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
