meeting_id,date,title,turf_mentioned,num_matches,topic_types,sentiments,outcomes,summary,pages,error
744782,"June 18, 2026 at 6:15 PM",Regular Meeting with Public Hearing,False,0,,,,,142,
741322,"June 4, 2026 at 6:15 PM",Regular Meeting with Public Hearing,False,0,,,,,273,
738588,"May 21, 2026 at 6:15 PM",Regular Meeting with Public Hearing,False,0,,,,,264,
738502,"May 7, 2026 at 6:15 PM",Regular Meeting,False,0,,,,,274,
736449,"April 23, 2026 at 6:15 PM",Regular Meeting,False,0,,,,,231,
732083,"April 2, 2026 at 6:15 PM",Regular Meeting,False,0,,,,,95,
730471,"March 26, 2026 at 6:15 PM",Special Meeting Budget Workshop,False,0,,,,,221,
729626,"March 12, 2026 at 6:15 PM",Regular Meeting,False,0,,,,,54,
734075,"March 10, 2026 at 6:15 PM",Special Meeting,False,0,,,,,2,
731756,"February 24, 2026 at 6:15 PM",Special Meeting - Grievance Hearing,False,0,,,,,2,
725257,"February 19, 2026 at 6:15 PM",Regular Meeting,False,0,,,,,253,
725242,"February 5, 2026 at 6:15 PM",Regular Meeting with Public Hearing,True,2,Budget / capital expenditure,Mixed; Positive,Approved; Informational only,"2 turf-related mention(s) found (Artificial Turf); topic(s): Budget / capital expenditure; sentiment(s): Mixed, Positive.",270,
727489,"CancelledJanuary 27, 2026 at 6:15 PM",Special Meeting - Grievance HearingCancelled,False,0,,,,,2,
723526,"January 22, 2026 at 6:15 PM",Regular Meeting,True,12,"Budget / capital expenditure; Facility construction or renovation project; Policy or safety discussion (e.g., heat, injury, environmental)",Negative; Neutral / factual,Informational only,"12 turf-related mention(s) found (Artificial Turf, Artificial turf, artificial turf, turf system); topic(s): Budget / capital expenditure, Facility construction or renovation project, Policy or safety discussion (e.g., heat, injury, environmental); sentiment(s): Negative, Neutral / factual.",284,
722353,"January 8, 2026 at 6:15 PM",Special Meeting Budget Workshop,False,0,,,,,49,
567376,"CancelledFebruary 2, 2023 at 6:15 PM",Special MeetingCancelled,False,0,,,,,61,
527311,"CancelledMay 17, 2022 at 6:15 PM",Special Meeting - Grievance HearingCancelled,False,0,,,,,2,
450589,"CancelledFebruary 18, 2021 at 5:00 PM",Special MeetingCancelled,False,0,,,,,16,
450586,"CancelledFebruary 11, 2021 at 6:15 PM",Regular MeetingCancelled,False,0,,,,,167,
